soil_number,author_year,longitude,latitude,land_cover,aridity_index,pH,carbon_availability,fungal_to_bacterial_dominance_in_the_moist_control,carbon_use_efficiency_in_the_moist_control,incubation_temperature,soil_moisture_at_the_end_of_drying,soil_moisture_in_the_moist_control,soil_moisture_after_rewetting,soil_moisture_increment_at_rewetting
1,Cordero et al 2023,-2.34,54.17,Grassland,2.29,6.11,1.46E-02,2.82,0.21,17,3,60,60,57
2,Cordero et al 2023,-2.34,54.17,Grassland,2.29,6.11,1.40E-02,2.04,0.22,17,2.9,60,60,57.1
3,Cordero et al 2023,-2.34,54.17,Grassland,2.29,6.11,1.24E-02,2.21,0.23,17,3.15,60,60,56.85
4,Cordero et al 2023,-2.34,54.17,Grassland,2.29,6.11,1.36E-02,2.86,0.23,17,3.28,60,60,56.72
5,Cordero et al 2023,-2.34,54.17,Grassland,2.29,6.11,1.39E-02,2.45,0.22,17,3.41,60,60,56.59
6,Cordero et al 2023,-2.34,54.17,Grassland,2.29,6.11,1.15E-02,2.33,0.26,17,3.72,60,60,56.28
7,Cordero et al 2023,-2.34,54.17,Grassland,2.29,6.11,1.48E-02,2.09,0.2,17,3.55,60,60,56.45
8,Cordero et al 2023,-2.34,54.17,Grassland,2.29,6.11,1.30E-02,1.73,0.26,17,3.46,60,60,56.54
9,Cordero et al 2023,-2.34,54.17,Grassland,2.29,6.11,1.02E-02,2.1,0.29,17,3.75,60,60,56.25
10,Cordero et al 2023,-2.34,54.17,Grassland,2.29,6.11,9.91E-03,2.24,0.29,17,4.26,60,60,55.74
11,Hicks et al 2022,-4.16,53.23,Forest,1.25,4.7,5.02E-02,0.65,0.11,18,3,50,50,47
12,Hicks et al 2022,-4.16,53.23,Forest,1.25,4.7,5.02E-02,0.65,0.11,18,3,50,50,47
13,Hicks et al 2022,-4.16,53.23,Forest,1.25,4.7,5.02E-02,0.65,0.11,18,3,50,50,47
14,Hicks et al 2022,-4.16,53.23,Forest,1.25,4.7,5.02E-02,0.65,0.11,18,3,50,50,47
15,Leizeaga et al 2021,-101.7,30.67,Grassland,0.17,8.5,8.98E-02,4.55,0.04,17,3.53,50,50,46.47
16,Leizeaga et al 2021,-101.32,29.69,Grassland,0.19,8.4,6.28E-02,4.64,0.06,17,3.66,50,50,46.34
17,Leizeaga et al 2021,-100.93,29.94,Grassland,0.23,7.9,3.16E-02,5.25,0.08,17,6.84,50,50,43.16
18,Leizeaga et al 2021,-100.45,29.61,Grassland,0.29,7.9,3.26E-02,2.72,0.15,17,4.79,50,50,45.21
19,Leizeaga et al 2021,-100.1,29.74,Grassland,0.33,8,3.75E-02,5.15,0.09,17,4.84,50,50,45.16
20,Leizeaga et al 2021,-99.99,30.15,Grassland,0.32,8.1,4.96E-02,3.15,0.09,17,8.65,50,50,41.35
21,Leizeaga et al 2021,-100.13,29.75,Grassland,0.33,7.9,3.47E-02,2.4,0.13,17,7.39,50,50,42.61
22,Leizeaga et al 2021,-100.08,29.77,Grassland,0.33,8.1,3.96E-02,3.91,0.09,17,2.88,50,50,47.12
23,Leizeaga et al 2021,-99.51,30.07,Grassland,0.36,8,3.69E-02,3.16,0.07,17,9.19,50,50,40.81
24,Leizeaga et al 2021,-99.39,30.04,Grassland,0.38,7.8,3.89E-02,2.65,0.09,17,6.77,50,50,43.23
25,Leizeaga et al 2021,-99.81,29.77,Grassland,0.36,7.8,3.85E-02,2.43,0.11,17,5.62,50,50,44.38
26,Leizeaga et al 2021,-98.44,30.33,Grassland,0.42,8,4.57E-02,2.46,0.1,17,4.55,50,50,45.45
27,Leizeaga et al 2021,-98.09,30.29,Grassland,0.39,8,4.74E-02,4.4,0.1,17,3.42,50,50,46.58
28,Leizeaga et al 2021,-98.45,30.33,Grassland,0.41,7.8,1.02E-01,3.69,0.11,17,2.61,50,50,47.39
29,Leizeaga et al 2021,-98.53,30.13,Grassland,0.45,8.1,4.20E-02,0.97,0.13,17,3.8,50,50,46.2
30,Leizeaga et al 2021,-97.87,30.18,Grassland,0.46,7.7,7.80E-02,3.15,0.13,17,3.79,50,50,46.21
31,Leizeaga et al 2021,-97.96,30.21,Grassland,0.46,8,5.02E-02,1.4,0.08,17,5.81,50,50,44.19
32,Winterfeldt et al 2024,17.01,59.01,Forest,0.8,6.46,1.26E-01,2.38,0.05,19,2.13,50,50,47.87
33,Winterfeldt et al 2024,14.44,46.17,Grassland,1.71,6.96,1.80E-01,0.46,0.08,19,2.24,50,50,47.76
34,Winterfeldt et al 2024,14.44,46.18,Forest,1.7,3.86,4.17E-02,4.54,0.07,19,2.56,50,50,47.44
35,Winterfeldt et al 2024,12.55,57.94,Cropland,1.11,7.43,9.40E-02,1.98,0.19,19,2.47,50,50,47.53
36,Winterfeldt et al 2024,12.55,57.94,Grassland,1.13,5.65,1.25E-01,2.3,0.07,19,1.86,50,50,48.14
37,Winterfeldt et al 2024,8.2,45.4,Cropland,0.76,6.32,1.01E-01,1.93,0.17,19,2.49,50,50,47.51
38,Winterfeldt et al 2024,-8.47,42.83,Grassland,1.53,6.16,5.84E-02,2.93,0.14,19,2.53,50,50,47.47
39,Winterfeldt et al 2024,-8.47,42.83,Forest,1.53,4.62,2.40E-02,2.77,0.06,19,2.62,50,50,47.38
40,Winterfeldt et al 2024,5.91,52.4,Heathland,1.02,4.46,1.45E-02,2.02,0.1,19,2.92,50,50,47.08
41,Winterfeldt et al 2024,23.8,37.97,Forest,0.31,6.42,8.79E-02,1.4,0.07,19,3.86,50,50,46.14
42,Winterfeldt et al 2024,23.8,37.97,Grassland,0.31,6.79,9.31E-02,2.95,0.16,19,3.96,50,50,46.04
43,Winterfeldt et al 2024,13.4,55.69,Forest,0.9,4.85,3.75E-02,3.51,0.06,19,2.27,50,50,47.73
44,Winterfeldt et al 2024,14.13,57.52,Forest,1.16,6.26,6.34E-02,3.4,0.06,19,1.46,50,50,48.54
45,Winterfeldt et al 2024,2.29,42.23,Grassland,0.65,6.84,1.03E-01,1.8,0.12,19,2.14,50,50,47.86
46,Winterfeldt et al 2024,14.44,46.18,Forest,1.7,3.86,2.53E-02,3.34,0.07,19,2.47,50,50,47.53
47,Winterfeldt et al 2024,8.69,51.02,Cropland,1,6.74,8.62E-02,2.19,0.2,19,1.52,50,50,48.48
48,Winterfeldt et al 2024,10.5,55.37,Grassland,0.74,6.73,9.30E-02,1.78,0.09,19,1.72,50,50,48.28
49,Winterfeldt et al 2024,8.2,45.4,Cropland,0.76,6.8,8.12E-02,2.34,0.14,19,1.22,50,50,48.78
50,Winterfeldt et al 2024,18.41,47.19,Cropland,0.48,6.98,1.06E-01,2.92,0.11,19,2.05,50,50,47.95
51,Winterfeldt et al 2024,13.21,55.71,Grassland,0.83,6.68,5.78E-02,1.47,0.14,19,2.64,50,50,47.36
52,Winterfeldt et al 2024,5.91,52.4,Heathland,1.02,4.46,9.15E-03,3.22,0.1,19,3.34,50,50,46.66
53,Winterfeldt et al 2024,5.91,52.4,Forest,1.02,3.94,6.78E-03,3.38,0.08,19,2.48,50,50,47.52
54,Winterfeldt et al 2024,13.4,55.69,Forest,0.9,4.85,4.12E-02,3.98,0.03,19,2.33,50,50,47.67
55,Winterfeldt et al 2024,13.4,55.69,Forest,0.9,5.97,6.73E-02,3.09,0.09,19,0.68,50,50,49.32
56,Hicks el al 2019,13.55,55.67,Grassland,0.91,6.1,2.89E-02,1.23,0.52,16,3,50,50,47
57,Hicks el al 2019,-4.16,53.23,Forest,1.25,4.8,1.47E-02,0.79,0.71,16,3,50,50,47
58,Meisner et al 2013,13.55,55.67,Grassland,0.91,6.6,2.66E-02,1.19,0.18,17,3,50,50,47
59,Meisner et al 2013,13.55,55.67,Grassland,0.91,6.2,2.36E-02,1.19,0.18,17,3,50,50,47
60,Li et al 2023,13.4,55.69,Forest,0.9,3.94,7.35E-02,4.35,0.08,19,2.03,50,50,47.97
61,Li et al 2023,13.4,55.69,Forest,0.9,3.94,5.94E-02,2.49,0.1,19,2.03,50,50,47.97
62,Li et al 2023,13.4,55.69,Forest,0.9,3.94,8.38E-02,1.48,0.08,19,2.03,50,50,47.97
63,Li et al 2023,13.4,55.69,Forest,0.9,4.85,2.02E-01,1.41,0.09,19,1.25,50,50,48.75
64,Li et al 2023,13.4,55.69,Forest,0.9,4.85,1.59E-01,1.6,0.1,19,1.25,50,50,48.75
65,Li et al 2023,13.4,55.69,Forest,0.9,4.85,1.04E-01,2.05,0.18,19,1.25,50,50,48.75
66,Brangarí et al 2022,13.58,55.67,Cropland,0.93,6.6,7.49E-02,0.73,0.03,18,3.57,50,50,46.43
67,Brangarí et al 2022,13.58,55.67,Cropland,0.93,6.73,5.07E-02,1.75,0.05,18,2.39,50,50,47.61
68,Brangarí et al 2022,13.58,55.67,Cropland,0.93,6.27,6.03E-02,0.78,0.09,18,3.01,50,50,46.99
69,Brangarí et al 2022,13.58,55.67,Cropland,0.93,6.4,1.30E-01,1.45,0.05,18,4.39,50,50,45.61
70,Brangarí et al 2022,13.58,55.67,Cropland,0.93,6.82,1.21E-01,0.85,0.02,18,3.71,50,50,46.29
71,Brangarí et al 2022,13.58,55.67,Cropland,0.93,6.93,5.22E-02,0.99,0.07,18,3.77,50,50,46.23
72,Brangarí et al 2022,13.58,55.67,Cropland,0.93,6.49,1.01E-01,0.69,0.09,18,3.04,50,50,46.96
73,Brangarí et al 2022,13.58,55.67,Cropland,0.93,6.77,8.43E-02,0.83,0.09,18,3.6,50,50,46.4
74,Brangarí et al 2022,13.58,55.67,Cropland,0.93,6.71,1.24E-01,0.69,0.04,18,3.26,50,50,46.74
75,Brangarí et al 2022,13.58,55.67,Cropland,0.93,6.81,7.45E-02,1.05,0.07,18,3.87,50,50,46.13
76,Brangarí et al 2022,13.58,55.67,Cropland,0.93,6.39,8.49E-02,0.55,0.13,18,3.91,50,50,46.09
77,Brangarí et al 2022,13.58,55.67,Cropland,0.93,6.8,9.43E-02,1.35,0.08,18,4.07,50,50,45.93
78,Hicks 2023,13.58,55.67,Cropland,0.93,6.4,1.23E-01,0.97,0.06,18,3.8,50,50,46.2
79,Hicks 2023,13.58,55.67,Cropland,0.93,6.7,7.87E-02,1.58,0.09,18,3.7,50,50,46.3
80,Hicks 2023,13.58,55.67,Cropland,0.93,6.8,9.20E-02,1.1,0.23,18,3.4,50,50,46.6
81,Hicks 2023,13.58,55.67,Cropland,0.93,7,9.58E-02,1.08,0.21,18,3.3,50,50,46.7
82,Tang et al 2023,16.32,56.86,Grassland,0.72,5.5,1.28E-01,0.26,0.27,20,2.46,50,50,47.54
83,Tang et al 2023,16.98,58.95,Grassland,0.79,6,7.69E-02,0.3,0.19,20,5.83,50,50,44.17
84,Tang et al 2023,15.34,57.51,Grassland,0.87,6.3,1.17E-01,0.31,0.24,20,3.37,50,50,46.63
85,Tang et al 2023,14.38,57.06,Grassland,1.03,5.6,1.00E-01,0.23,0.21,20,3.91,50,50,46.09
86,Tang et al 2023,12.91,59.82,Grassland,1.27,5.2,6.91E-02,0.35,0.18,20,4.48,50,50,45.52
87,Tang et al 2023,16.32,56.86,Grassland,0.72,5.8,1.03E-01,0.29,0.18,20,3.87,50,50,46.13
88,Tang et al 2023,16.98,58.95,Grassland,0.79,5.9,8.04E-02,0.34,0.2,20,4.43,50,50,45.57
89,Tang et al 2023,15.34,57.51,Grassland,0.87,6.4,1.18E-01,0.22,0.31,20,4.63,50,50,45.37
90,Tang et al 2023,14.38,57.06,Grassland,1.03,5.4,5.13E-02,0.29,0.21,20,4.01,50,50,45.99
91,Tang et al 2023,12.91,59.82,Grassland,1.27,4.9,1.01E-01,0.5,0.13,18,2.66,50,50,47.34
