soil_number,time,bacterial_growth_rate,fungal_growth_rate,respiration_rate
1,3.15,7.52E-04,1.54E-02,1.59E+00
1,8.39,2.56E-03,3.23E-02,1.33E+00
1,15.52,5.61E-03,5.55E-02,1.79E+00
1,21.83,3.66E-03,7.58E-02,2.24E+00
1,29.93,1.20E-02,1.11E-01,1.93E+00
1,42.07,4.98E-02,1.03E-01,3.73E+00
1,60.42,6.24E-02,5.00E-02,2.37E+00
1,83.84,6.46E-02,3.77E-02,1.65E+00
1,133.31,8.69E-02,3.20E-02,1.55E+00
2,3.14,7.06E-04,1.51E-02,1.72E+00
2,8.39,8.06E-04,2.47E-02,1.25E+00
2,15.55,9.57E-04,6.09E-02,1.69E+00
2,21.85,2.60E-03,8.48E-02,2.18E+00
2,29.92,5.23E-03,1.06E-01,1.60E+00
2,42.07,5.01E-02,8.08E-02,3.45E+00
2,60.42,5.19E-02,4.25E-02,2.13E+00
2,83.84,5.25E-02,3.72E-02,1.91E+00
2,133.3,9.60E-02,3.14E-02,1.40E+00
3,3.14,1.05E-03,1.58E-02,1.78E+00
3,8.39,1.09E-03,2.86E-02,1.44E+00
3,15.56,1.00E-03,5.46E-02,1.70E+00
3,21.87,4.15E-03,6.71E-02,2.06E+00
3,29.92,2.52E-02,8.21E-02,2.47E+00
3,42.06,6.57E-02,6.21E-02,3.33E+00
3,60.41,7.04E-02,3.56E-02,2.49E+00
3,83.83,8.83E-02,3.27E-02,1.89E+00
3,133.3,7.49E-02,2.90E-02,1.57E+00
4,3.14,7.72E-04,1.69E-02,1.78E+00
4,8.38,2.63E-03,3.39E-02,1.33E+00
4,15.59,9.88E-04,6.28E-02,1.42E+00
4,21.9,4.77E-03,8.22E-02,2.67E+00
4,29.92,2.71E-02,1.06E-01,2.65E+00
4,42.06,6.90E-02,5.93E-02,3.34E+00
4,60.41,1.04E-01,3.63E-02,2.08E+00
4,83.83,1.25E-01,3.51E-02,1.96E+00
4,133.3,1.10E-01,3.06E-02,1.42E+00
5,3.15,8.60E-04,1.59E-02,1.77E+00
5,8.4,1.16E-03,3.26E-02,1.32E+00
5,15.6,2.95E-03,6.16E-02,1.40E+00
5,21.91,1.43E-02,8.28E-02,2.41E+00
5,29.93,4.41E-02,8.20E-02,2.31E+00
5,42.07,1.12E-01,6.12E-02,2.85E+00
5,60.42,3.48E-01,3.64E-02,2.40E+00
5,83.84,5.35E-01,3.19E-02,1.72E+00
5,133.31,4.99E-01,2.67E-02,1.34E+00
6,3.15,1.30E-03,1.58E-02,1.61E+00
6,8.39,1.19E-03,3.32E-02,1.37E+00
6,15.63,5.56E-03,5.83E-02,1.54E+00
6,21.94,1.99E-02,7.50E-02,2.22E+00
6,29.93,3.05E-02,8.01E-02,2.02E+00
6,42.07,1.40E-01,5.38E-02,3.19E+00
6,60.42,3.05E-01,3.27E-02,2.56E+00
6,83.84,3.63E-01,3.16E-02,1.72E+00
6,133.31,2.42E-01,3.11E-02,1.39E+00
7,3.14,9.68E-04,1.75E-02,1.84E+00
7,8.39,1.13E-03,2.76E-02,1.56E+00
7,15.65,1.56E-03,4.49E-02,1.60E+00
7,21.95,1.07E-02,5.07E-02,1.95E+00
7,29.92,5.97E-02,5.30E-02,2.25E+00
7,42.07,1.08E-01,5.06E-02,2.38E+00
7,60.42,2.47E-01,3.09E-02,1.91E+00
7,83.84,2.67E-01,2.42E-02,1.69E+00
7,133.3,1.39E-01,1.81E-02,1.31E+00
8,3.14,1.40E-03,2.15E-02,1.45E+00
8,8.39,2.36E-03,4.42E-02,1.29E+00
8,15.68,6.55E-03,6.81E-02,1.53E+00
8,21.98,2.17E-02,6.92E-02,2.05E+00
8,28.92,4.09E-02,6.23E-02,1.30E+00
8,42.06,7.42E-02,4.51E-02,1.98E+00
8,60.41,1.53E-01,3.20E-02,1.60E+00
8,83.83,1.92E-01,2.99E-02,1.24E+00
8,133.3,1.88E-01,2.73E-02,8.09E-01
9,3.14,1.85E-03,1.91E-02,1.65E+00
9,8.38,1.32E-03,3.81E-02,1.41E+00
9,15.69,4.51E-03,5.20E-02,1.59E+00
9,22,1.63E-02,5.90E-02,2.06E+00
9,29.92,4.72E-02,5.84E-02,1.71E+00
9,42.06,1.25E-01,4.14E-02,2.27E+00
9,60.41,2.98E-01,2.94E-02,1.60E+00
9,83.83,3.91E-01,2.69E-02,1.36E+00
9,133.3,3.41E-01,2.55E-02,9.64E-01
10,3.13,1.25E-03,1.95E-02,1.75E+00
10,8.38,1.80E-03,3.71E-02,1.45E+00
10,26.27,4.14E-02,3.82E-02,1.53E+00
10,32.58,5.95E-02,3.54E-02,1.55E+00
10,29.91,5.18E-02,3.67E-02,9.99E-01
10,42.05,1.08E-01,3.03E-02,1.43E+00
10,60.4,1.90E-01,2.67E-02,9.16E-01
10,83.83,2.09E-01,2.70E-02,1.02E+00
10,133.29,1.03E-01,3.52E-02,7.91E-01
11,3.9,2.75E-04,2.97E-02,6.72E-01
11,7.7,3.01E-04,8.53E-02,8.60E-01
11,19.9,6.55E-04,4.52E-01,1.94E+00
11,31.3,8.90E-04,2.55E-01,1.43E+00
11,43.4,4.21E-03,2.03E-01,1.64E+00
11,52.9,1.04E-02,1.40E-01,1.67E+00
11,64.5,1.42E-02,1.39E-01,1.58E+00
11,75.1,NA,NA,1.43E+00
12,4.4,5.50E-04,1.74E-01,1.90E+00
12,6.7,5.39E-04,2.25E-01,1.95E+00
12,20.1,1.24E-02,1.46E-01,1.69E+00
12,32.3,1.76E-03,9.30E-02,1.54E+00
12,44.3,1.46E-03,9.41E-02,1.28E+00
12,52.2,1.69E-03,1.05E-01,1.40E+00
12,64.3,1.21E-03,8.35E-02,1.12E+00
12,76,NA,NA,8.87E-01
13,3.7,8.66E-04,1.51E-01,1.56E+00
13,7.4,1.31E-03,2.22E-01,1.41E+00
13,20.4,2.60E-03,1.76E-01,8.98E-01
13,34.1,1.49E-03,1.69E-01,8.52E-01
13,44.8,2.08E-03,1.64E-01,7.70E-01
13,53.2,1.71E-03,1.31E-01,7.62E-01
13,64.6,3.44E-03,1.31E-01,6.99E-01
13,75.8,NA,NA,7.07E-01
14,3.8,7.90E-04,1.49E-01,8.30E-01
14,15.4,1.83E-03,2.22E-01,7.59E-01
14,28.2,2.30E-03,1.57E-01,7.45E-01
14,33.3,2.37E-03,1.23E-01,6.93E-01
14,44.7,2.02E-03,1.22E-01,5.68E-01
14,61.1,1.68E-03,1.91E-01,7.86E-01
14,64.9,1.69E-03,1.96E-01,6.22E-01
